Distance,Count0,Count1,Count2,Count3,Count4,Count5,Count6,Count7,Count8,Count9,Count10,Count11
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0
50.0,4.0,1.0,6.0,3.0,3.0,5.0,2.0,2.0,2.0,2.0,2.0,3.0
100.0,5.0,1.0,5.0,6.0,3.0,4.0,2.0,2.0,5.0,2.0,5.0,8.0
150.0,3.0,2.0,6.0,6.0,4.0,4.0,4.0,4.0,8.0,3.0,8.0,10.0
200.0,5.0,4.0,6.0,7.0,5.0,5.0,6.0,6.0,10.0,5.0,7.0,15.0
250.0,7.0,4.0,9.0,11.0,6.0,5.0,6.0,6.0,12.0,7.0,10.0,15.0
300.0,13.0,7.0,11.0,11.0,4.0,6.0,4.0,9.0,11.0,9.0,11.0,15.0
350.0,20.0,8.0,12.0,12.0,7.0,8.0,4.0,8.0,9.0,11.0,12.0,13.0
400.0,11.0,8.0,11.0,8.0,7.0,6.0,4.0,12.0,1.0,12.0,14.0,3.0
450.0,0.0,16.0,12.0,5.0,10.0,7.0,6.0,12.0,0.0,9.0,13.0,1.0
500.0,0.0,14.0,11.0,2.0,14.0,9.0,8.0,12.0,0.0,9.0,6.0,0.0
550.0,0.0,20.0,11.0,1.0,12.0,7.0,8.0,9.0,0.0,6.0,0.0,0.0
600.0,0.0,10.0,7.0,0.0,8.0,6.0,3.0,4.0,0.0,1.0,0.0,0.0
650.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
700.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
