Distance,Count0,Count1,Count2,Count3,Count4
0.0,2.0,2.0,1.0,7.0,1.0
50.0,4.0,12.0,3.0,8.0,8.0
100.0,3.0,11.0,4.0,11.0,11.0
150.0,6.0,10.0,4.0,10.0,10.0
200.0,11.0,10.0,4.0,16.0,10.0
250.0,10.0,10.0,21.0,17.0,8.0
300.0,4.0,8.0,8.0,17.0,8.0
350.0,4.0,8.0,6.0,12.0,8.0
400.0,3.0,8.0,7.0,12.0,8.0
450.0,3.0,7.0,8.0,11.0,7.0
500.0,5.0,7.0,7.0,10.0,8.0
550.0,3.0,10.0,9.0,11.0,7.0
600.0,2.0,11.0,6.0,11.0,8.0
650.0,2.0,7.0,2.0,12.0,5.0
700.0,2.0,6.0,2.0,7.0,5.0
750.0,2.0,4.0,3.0,4.0,5.0
800.0,0.0,2.0,1.0,3.0,4.0
850.0,0.0,1.0,1.0,1.0,1.0
900.0,0.0,1.0,1.0,1.0,1.0
950.0,0.0,1.0,0.0,1.0,1.0
1000.0,0.0,1.0,0.0,0.0,0.0
1050.0,0.0,0.0,0.0,0.0,0.0
1100.0,0.0,0.0,0.0,0.0,0.0
1150.0,0.0,0.0,0.0,0.0,0.0
1200.0,0.0,0.0,0.0,0.0,0.0
1250.0,0.0,0.0,0.0,0.0,0.0
1300.0,0.0,0.0,0.0,0.0,0.0
1350.0,0.0,0.0,0.0,0.0,0.0
